4.49948    14.2037
4.49528    14.1492
4.4869    14.0407
4.47433    13.8791
4.4576    13.6656
4.43671    13.4019
4.4117    13.0902
4.38257    12.7329
4.34937    12.3329
4.31212    11.8933
4.27086    11.4175
4.22564    10.9091
4.17649    10.3722
4.12346    9.81069
4.06662    9.22884
4.006    8.63096
3.94168    8.02142
3.87372    7.4046
3.80218    6.78488
3.72714    6.16657
3.64866    5.5539
3.56683    4.95097
3.48173    4.36172
3.39343    3.78992
3.30204    3.23911
3.20763    2.71262
3.1103    2.2135
3.01015    1.74454
2.90728    1.30827
2.80179    0.906886
2.69377    0.542318
2.58335    0.216176
2.47062    -0.0702308
2.3557    -0.315892
2.2387    -0.520096
2.11974    -0.682422
1.99894    -0.802726
1.8764    -0.881132
1.75227    -0.918016
1.62665    -0.913996
1.49967    -0.869912
1.37146    -0.786806
1.24214    -0.665909
1.11185    -0.508621
0.980699    -0.316487
0.84883    -0.0911868
0.716371    0.165491
0.583451    0.451666
0.450202    0.765382
0.316756    1.10463
0.183244    1.46735
0.0497978    1.85147
-0.0834508    2.2549
-0.216371    2.67557
-0.34883    3.1114
-0.480699    3.56036
-0.611846    4.02046
-0.742143    4.48975
-0.87146    4.96633
-0.999672    5.4484
-1.12665    5.93417
-1.25227    6.42198
-1.3764    6.91023
-1.49894    7.3974
-1.61974    7.88205
-1.7387    8.36284
-1.8557    8.8385
-1.97062    9.30785
-2.08335    9.7698
-2.19377    10.2233
-2.30179    10.6676
-2.40728    11.1016
-2.51015    11.5247
-2.6103    11.9361
-2.70763    12.3352
-2.80204    12.7215
-2.89343    13.0945
-2.98173    13.4536
-3.06683    13.7986
-3.14866    14.1291
-3.22714    14.4448
-3.30218    14.7455
-3.37372    15.0309
-3.44168    15.3009
-3.506    15.5553
-3.56662    15.794
-3.62346    16.017
-3.67649    16.2241
-3.72564    16.4153
-3.77086    16.5907
-3.81212    16.7501
-3.84937    16.8935
-3.88257    17.021
-3.9117    17.1325
-3.93671    17.228
-3.9576    17.3077
-3.97433    17.3713
-3.9869    17.4191
-3.99528    17.4509
-3.99948    17.4668
